salary,gender,age,height,pts,ast,usg_p,foreign
45780966,0,33,74,26.0,6.3,0.301,0
44211146,0,33,75,18.7,7.8,0.267,0
43848000,0,32,77,22.5,10.2,0.277,0
41180544,0,37,81,29.1,6.3,0.306,0
40918900,0,33,82,29.3,5.8,0.31,0
39344970,0,31,80,24.7,5.5,0.332,0
39344970,0,27,83,28.9,6.0,0.345,1
39344900,0,31,74,24.0,7.3,0.288,0
37980720,0,31,78,15.6,2.7,0.289,0
36016200,0,32,79,21.7,6.3,0.258,0
36000000,0,29,79,18.9,3.7,0.238,0
35500000,0,30,79,19.6,5.2,0.257,0
35361360,0,28,82,23.4,2.8,0.27,0
35344828,0,29,85,16.0,1.2,0.169,1
34916200,0,29,74,23.6,4.7,0.273,1
34502130,0,28,76,23.2,6.6,0.297,0
31650600,0,26,87,19.2,2.0,0.274,1
31610000,0,26,83,24.3,3.9,0.269,0
31610000,0,25,77,25.5,4.3,0.318,0
31579390,0,27,84,29.1,4.4,0.371,1
31579390,0,26,79,18.3,2.1,0.228,1
31320000,0,27,80,21.1,5.2,0.251,1
31300000,0,33,80,14.3,2.2,0.248,0
30864198,0,30,75,20.7,4.5,0.257,0
30800000,0,36,72,14.9,10.5,0.198,0
30510423,0,26,83,25.9,7.8,0.304,1
30133333,0,31,75,18.0,6.5,0.235,0
30013500,0,25,76,18.8,6.9,0.254,0
29900000,0,31,79,17.0,3.7,0.203,0
29467800,0,24,80,22.5,5.2,0.29,0
28103550,0,23,80,25.9,4.1,0.314,0
28103550,0,25,73,25.5,5.2,0.322,0
28103550,0,24,75,21.0,5.2,0.276,0
28103550,0,24,81,18.1,3.5,0.244,0
27000000,0,35,81,10.1,3.3,0.159,1
26984128,0,35,72,13.1,8.2,0.19,0
26000000,0,32,78,26.5,5.0,0.298,0
24830357,0,25,78,24.2,3.1,0.302,0
24026712,0,31,78,7.9,7.4,0.142,0
24000000,0,31,82,17.1,3.6,0.237,1
23000000,0,24,81,16.7,2.0,0.197,0
22477273,0,29,76,14.7,2.0,0.216,1
21700000,0,29,77,18.5,5.9,0.241,0
21306816,0,29,77,14.2,2.2,0.214,0
21000000,0,34,73,14.3,5.3,0.202,0
20482143,0,27,76,11.8,1.9,0.163,0
20475000,0,33,82,10.2,1.4,0.176,1
20284091,0,29,80,16.5,2.4,0.19,0
20000000,0,27,80,20.0,2.5,0.263,0
20000000,0,23,82,16.0,1.9,0.176,0
19800000,0,27,80,18.5,5.1,0.265,0
19675926,0,27,73,21.5,7.1,0.236,0
