salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
45780966,33,74,185,47,26,5.5,6.3,13.6,0.018,0.127,0.301,0.586,0.284,0
44211146,33,75,200,52,18.7,7.9,7.8,-3,0.037,0.173,0.267,0.511,0.343,0
43848000,32,77,220,44,22.5,8,10.2,0.6,0.026,0.179,0.277,0.576,0.399,0
41180544,37,81,250,36,29.1,7.7,6.3,-0.3,0.03,0.172,0.306,0.619,0.301,0
40918900,33,82,240,36,29.3,7.4,5.8,4.5,0.016,0.168,0.31,0.626,0.266,0
39344970,31,80,220,26,24.7,7.1,5.5,1.3,0.012,0.175,0.332,0.528,0.276,0
39344970,27,83,242,43,28.9,11.3,6,8.4,0.055,0.257,0.345,0.617,0.324,1
39344900,31,74,195,29,24,4.1,7.3,-1.8,0.012,0.104,0.288,0.55,0.321,0
37980720,31,78,220,10,15.6,3.3,2.7,10.2,0.024,0.099,0.289,0.52,0.18,0
36016200,32,79,230,34,21.7,6.3,6.3,4.3,0.055,0.136,0.258,0.594,0.31,0
36000000,29,79,226,42,18.9,7.4,3.7,1.5,0.033,0.176,0.238,0.559,0.173,0
35500000,30,79,222,41,19.6,5.6,5.2,4.9,0.019,0.141,0.257,0.578,0.25,0
35361360,28,82,253,31,23.4,9.7,2.8,-2.3,0.072,0.188,0.27,0.573,0.137,0
35344828,29,85,258,42,16,15.1,1.2,12.1,0.115,0.314,0.169,0.728,0.054,1
34916200,29,74,195,10,23.6,4.9,4.7,7.1,0.014,0.119,0.273,0.577,0.199,1
34502130,28,76,207,40,23.2,4.7,6.6,-3.5,0.026,0.099,0.297,0.539,0.309,0
31650600,26,87,240,34,19.2,7.7,2,1.8,0.062,0.19,0.274,0.561,0.116,1
31610000,26,83,248,45,24.3,9.6,3.9,4.4,0.076,0.191,0.269,0.629,0.188,0
31610000,25,77,206,44,25.5,5.3,4.3,7.9,0.024,0.123,0.318,0.554,0.2,0
31579390,27,84,280,39,29.1,10.8,4.4,7.9,0.067,0.255,0.371,0.607,0.251,1
31579390,26,79,197,47,18.3,4.3,2.1,9.8,0.033,0.094,0.228,0.587,0.105,1
31320000,27,80,230,37,21.1,8.6,5.2,4.9,0.052,0.178,0.251,0.544,0.221,1
31300000,33,80,251,44,14.3,7.5,2.2,4.8,0.05,0.267,0.248,0.605,0.157,0
30864198,30,75,190,34,20.7,4.3,4.5,-3,0.025,0.093,0.257,0.539,0.209,0
30800000,36,72,175,51,14.9,4.5,10.5,9.5,0.01,0.118,0.198,0.58,0.423,0
30510423,26,83,284,45,25.9,13.8,7.8,10.6,0.088,0.318,0.304,0.656,0.389,1
30133333,31,75,205,40,18,4.7,6.5,9.1,0.029,0.105,0.235,0.578,0.295,0
30013500,25,76,193,38,18.8,3.6,6.9,7.5,0.009,0.096,0.254,0.54,0.321,0
29900000,31,79,225,45,17,4.7,3.7,0.5,0.022,0.114,0.203,0.584,0.159,0
29467800,24,80,190,37,22.5,6,5.2,0.9,0.021,0.153,0.29,0.539,0.255,0
28103550,23,80,210,49,25.9,8.4,4.1,7,0.031,0.19,0.314,0.549,0.197,0
28103550,25,73,215,40,25.5,4,5.2,7.9,0.025,0.087,0.322,0.566,0.253,0
28103550,24,75,185,43,21,3.8,5.2,-5.1,0.013,0.092,0.276,0.532,0.241,0
28103550,24,81,255,28,18.1,10,3.5,4,0.082,0.218,0.244,0.582,0.179,0
27000000,35,81,240,44,10.1,7.4,3.3,2.4,0.052,0.196,0.159,0.535,0.171,1
26984128,35,72,196,40,13.1,4.4,8.2,5,0.018,0.112,0.19,0.555,0.349,0
26000000,32,78,220,47,26.5,5.1,5,6.6,0.025,0.118,0.298,0.59,0.235,0
24830357,25,78,223,39,24.2,6.6,3.1,6.5,0.023,0.152,0.302,0.569,0.157,0
24026712,31,78,230,34,7.9,7.6,7.4,9.8,0.038,0.2,0.142,0.581,0.328,0
24000000,31,82,260,44,17.1,11.5,3.6,2.3,0.06,0.282,0.237,0.52,0.164,1
23000000,24,81,226,46,16.7,8,2,1.4,0.056,0.187,0.197,0.628,0.093,0
22477273,29,76,220,53,14.7,4.1,2,-5.2,0.025,0.109,0.216,0.54,0.105,1
21700000,29,77,229,28,18.5,5.1,5.9,2.4,0.025,0.123,0.241,0.558,0.279,0
21306816,29,77,205,42,14.2,3.7,2.2,1.3,0.01,0.114,0.214,0.52,0.115,0
21000000,34,73,175,46,14.3,3,5.3,10.9,0.021,0.08,0.202,0.598,0.272,0
20482143,27,76,210,45,11.8,2.2,1.9,-7.8,0.021,0.053,0.163,0.571,0.095,0
20475000,33,82,236,41,10.2,4.4,1.4,1.7,0.021,0.163,0.176,0.58,0.088,1
20284091,29,80,225,48,16.5,6.1,2.4,-8.2,0.032,0.146,0.19,0.607,0.106,0
20000000,27,80,210,26,20,4.7,2.5,-11.9,0.023,0.116,0.263,0.542,0.142,0
20000000,23,82,243,44,16,10.7,1.9,5.3,0.106,0.209,0.176,0.696,0.087,0
19800000,27,80,250,50,18.5,9.9,5.1,-5.5,0.046,0.223,0.265,0.507,0.248,0
19675926,27,73,197,45,21.5,4.7,7.1,4.6,0.019,0.101,0.236,0.562,0.283,0
19500000,26,77,200,44,24.7,4.8,4.3,1.9,0.008,0.128,0.289,0.608,0.206,0
19440000,35,75,190,5,8,2.8,1.8,-11.5,0.019,0.148,0.172,0.521,0.18,1
18700000,32,79,226,50,17.8,4.2,1.7,4.3,0.026,0.104,0.229,0.597,0.084,1
18604651,24,78,190,35,13,5.4,5.1,3.1,0.029,0.125,0.17,0.575,0.203,0
18562500,25,83,240,46,19.1,12.1,5,0.4,0.092,0.254,0.215,0.65,0.227,1
18218818,33,75,215,44,14.3,2,3.1,-4.5,0.01,0.055,0.188,0.624,0.158,0
18139535,29,78,205,50,14.1,2.9,1.8,-4.4,0.017,0.078,0.205,0.562,0.1,1
18125000,32,73,214,53,9.9,3.4,4.1,-1.1,0.019,0.105,0.198,0.516,0.247,0
18000000,25,83,250,42,12.9,7.1,1,-0.3,0.052,0.188,0.173,0.615,0.053,0
18000000,29,78,225,33,12.5,3.7,2.9,0.4,0.01,0.115,0.186,0.546,0.14,1
17905263,27,73,190,43,18.3,4.1,4,-0.5,0.019,0.101,0.223,0.55,0.182,0
17809524,31,74,190,34,13.1,4.1,6.6,9.1,0.015,0.122,0.234,0.488,0.348,1
17500000,27,78,205,38,18.1,3.8,4.3,-0.9,0.025,0.098,0.263,0.521,0.221,0
17357143,30,78,220,14,11.3,4,1,1.1,0.012,0.109,0.146,0.624,0.047,0
17142857,28,78,215,42,13,4.8,5.9,-2.6,0.027,0.117,0.205,0.505,0.292,0
17103448,27,82,256,43,11.1,12.3,1.5,2,0.13,0.286,0.151,0.574,0.07,1
17073171,28,83,265,50,6.5,9.5,3,6.8,0.155,0.188,0.118,0.541,0.141,1
16409091,26,80,235,47,14.5,5.6,2.5,6.8,0.057,0.12,0.192,0.6,0.108,0
16071429,24,79,232,35,18.7,5.4,2.7,2.1,0.038,0.111,0.213,0.55,0.111,1
16000000,23,77,209,41,18.1,2.8,2,3.8,0.01,0.072,0.209,0.555,0.086,0
16000000,29,82,225,32,6,1.9,0.5,-5.1,0.012,0.112,0.168,0.528,0.043,1
15690909,24,83,240,38,13.6,5.3,1.5,6.8,0.037,0.131,0.185,0.557,0.068,1
15560000,27,79,215,50,11.8,3.1,1.5,2.2,0.014,0.1,0.178,0.566,0.083,0
15517242,28,75,215,40,18.7,3.3,2.1,-8.3,0.012,0.089,0.224,0.593,0.098,0
15428571,25,76,180,46,19.6,8.5,9.1,1.1,0.035,0.199,0.263,0.511,0.381,0
15384615,31,77,181,44,15.3,4.9,4.2,1.2,0.02,0.13,0.214,0.541,0.188,0
15178571,27,76,190,47,14.4,3.5,5.6,1.3,0.016,0.091,0.203,0.551,0.258,0
15057692,27,78,218,41,5.9,2.5,0.9,-0.9,0.024,0.123,0.145,0.601,0.08,0
14391964,25,76,187,52,12.1,3,1.5,-1.8,0.012,0.1,0.195,0.509,0.089,0
