salary,age,height,pts,ast,usg_p,foreign
221450,41,69,10.0,5.3,0.164,0
221450,31,69,17.7,5.3,0.238,0
221450,30,80,14.2,1.3,0.248,1
221450,32,77,13.7,0.7,0.276,0
221450,39,72,15.2,4.9,0.255,0
221450,34,76,15.2,3.4,0.234,0
221450,31,81,20.5,2.7,0.257,0
215000,30,74,16.2,1.7,0.296,0
209550,28,72,16.8,5.2,0.254,0
200000,32,68,10.5,8.6,0.182,0
200000,29,74,5.5,2.0,0.215,0
194000,35,70,13.2,2.3,0.218,0
190550,31,74,14.5,2.7,0.211,0
190550,35,67,9.4,2.9,0.172,0
190550,29,71,13.7,2.3,0.175,0
190550,28,78,19.4,2.8,0.263,0
190550,27,68,16.5,4.0,0.243,0
190550,29,71,11.1,5.9,0.202,0
190550,29,69,3.7,0.8,0.181,0
190550,27,76,20.3,2.7,0.266,0
190550,35,73,0.0,0.0,1.0,0
190550,28,71,13.4,2.1,0.285,0
190000,29,69,8.7,6.4,0.151,0
190000,35,76,13.3,4.0,0.237,0
185000,32,69,10.6,4.0,0.194,0
185000,29,76,10.2,1.2,0.219,0
180000,30,67,13.6,4.8,0.245,0
175100,31,74,2.5,0.3,0.159,0
175100,27,66,5.4,2.5,0.162,0
175000,33,76,23.4,2.1,0.311,0
175000,30,77,7.5,1.3,0.169,0
175000,27,68,14.8,3.6,0.241,0
175000,33,76,6.4,1.5,0.183,0
165000,27,73,14.4,1.8,0.213,0
164500,29,75,3.7,1.2,0.15,1
160000,27,72,11.9,1.7,0.187,0
155000,32,69,9.9,3.7,0.181,0
154500,28,75,10.9,1.1,0.197,0
152300,28,75,11.6,1.7,0.196,0
150350,33,70,11.7,2.7,0.175,1
145000,33,74,5.8,2.0,0.189,0
144200,27,69,12.0,2.0,0.204,0
142000,37,74,6.4,0.7,0.193,0
140000,30,75,4.9,0.6,0.164,0
135000,28,77,9.2,1.0,0.207,1
126000,29,75,7.7,2.3,0.179,1
123500,36,65,6.4,2.5,0.133,0
121500,28,70,17.9,3.8,0.264,0
121500,35,68,7.0,3.1,0.121,0
120000,30,69,9.9,5.4,0.211,0
120000,26,75,14.7,1.8,0.209,0
119780,32,70,14.7,3.0,0.218,0
119000,28,75,5.8,1.2,0.118,0
117894,36,78,16.0,1.4,0.212,0
115000,34,69,5.8,1.7,0.182,0
113000,29,75,7.0,1.1,0.187,0
111520,29,68,8.7,3.6,0.204,0
110000,35,76,4.6,1.3,0.177,0
110000,27,69,9.4,2.2,0.173,0
108421,27,77,6.6,0.4,0.179,1
105037,29,74,9.2,1.1,0.185,1
91250,31,67,10.5,1.6,0.155,0
89200,29,73,7.5,1.5,0.126,0
80000,26,72,4.4,1.6,0.121,0
72000,26,74,4.1,0.6,0.126,0
70040,29,77,6.4,1.4,0.197,0
70040,27,74,5.7,1.6,0.161,1
70040,35,70,4.3,1.6,0.15,0
70040,26,73,8.3,0.9,0.158,0
70040,25,73,12.9,2.5,0.259,0
70040,25,76,8.1,1.0,0.157,0
70040,26,78,7.3,1.6,0.126,0
70040,26,68,5.4,3.0,0.15,0
70040,24,69,1.9,0.9,0.162,0
70040,25,72,9.5,1.8,0.187,1
70040,26,68,17.8,2.5,0.24,0
70040,26,66,5.8,3.0,0.166,0
70040,26,73,11.3,2.3,0.211,0
70040,22,77,3.4,0.2,0.132,0
70040,26,78,7.4,0.8,0.163,0
70040,20,76,2.4,0.6,0.18,1
70040,25,68,16.2,2.6,0.239,0
70040,23,66,6.3,2.0,0.196,0
70040,25,76,18.3,3.1,0.257,0
69360,23,76,11.9,2.8,0.229,0
69360,24,71,11.7,6.1,0.207,0
69360,23,69,14.2,3.3,0.256,0
67208,22,72,8.6,0.6,0.176,0
67208,24,75,0.0,1.0,0.146,0
67208,24,70,0.6,0.1,0.129,0
66555,23,70,4.4,2.7,0.153,0
66555,23,76,5.8,0.8,0.145,0
66555,23,74,0.0,0.0,0.0,0
66555,23,76,2.6,0.5,0.095,0
64375,23,70,1.1,0.6,0.129,0
63751,23,73,4.5,0.9,0.193,0
63751,25,72,5.9,1.1,0.207,0
62014,27,73,6.8,1.3,0.184,0
61543,24,72,2.8,0.5,0.204,0
61543,22,74,2.3,0.8,0.106,0
61543,24,67,1.0,0.6,0.102,0
61543,23,66,3.3,1.0,0.209,0
61543,24,71,3.2,0.6,0.184,0
60946,23,74,3.1,0.4,0.126,0
60946,23,76,5.7,1.4,0.148,0
60946,23,73,4.3,1.1,0.147,0
60946,23,65,7.7,2.8,0.2,0
60069,25,79,11.3,1.1,0.187,0
60069,24,75,7.0,1.7,0.154,0
60069,24,72,12.2,3.2,0.166,0
58710,24,68,9.1,1.4,0.233,0
58710,23,74,1.4,0.2,0.136,0
58710,25,73,5.6,1.1,0.137,0
58710,33,67,5.4,2.5,0.148,0
58710,24,68,7.6,1.9,0.169,0
58710,25,73,16.2,3.2,0.228,0
58710,25,71,13.3,2.9,0.259,0
58710,24,73,2.9,0.3,0.193,0
58710,23,77,2.0,0.8,0.154,1
58710,25,76,2.0,1.7,0.127,0
58710,22,76,6.7,0.8,0.192,1
58710,28,72,8.8,1.5,0.216,0
58710,24,73,4.8,1.5,0.122,1
58710,25,75,7.8,1.8,0.117,0
58710,27,82,4.9,0.3,0.172,1
58710,25,76,1.8,0.2,0.122,0
58710,24,68,18.7,3.3,0.274,0
58710,25,76,1.2,0.6,0.156,1
52042,28,70,5.0,1.6,0.196,0
47185,27,69,1.6,1.1,0.123,0
45000,28,75,1.5,0.8,0.044,0
35389,27,75,4.4,1.1,0.174,0
34651,28,74,5.9,0.3,0.198,0
34315,23,76,2.6,0.5,0.132,0
31095,22,68,0.4,0.2,0.116,0
30900,22,74,2.2,0.3,0.226,0
29664,23,70,2.0,0.3,0.19,0
29664,26,72,2.8,0.2,0.155,0
24330,26,69,6.9,0.9,0.144,0
24330,28,74,0.9,0.4,0.105,0
20609,28,70,2.3,1.2,0.103,0
