salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
221450,41,69,150,30,10,2.6,5.3,6.4,0.01,0.082,0.164,0.583,0.302,0
221450,31,69,145,32,17.7,3.2,5.3,7.6,0.018,0.073,0.238,0.591,0.275,0
221450,30,80,216,25,14.2,8.2,1.3,13.2,0.07,0.25,0.248,0.589,0.094,1
221450,32,77,187,3,13.7,4.3,0.7,29.6,0.057,0.175,0.276,0.635,0.071,0
221450,39,72,163,16,15.2,4.4,4.9,6.6,0.007,0.136,0.255,0.543,0.276,0
221450,34,76,142,32,15.2,6.4,3.4,14.4,0.023,0.191,0.234,0.524,0.185,0
221450,31,81,205,30,20.5,9.5,2.7,5.4,0.077,0.195,0.257,0.626,0.165,0
215000,30,74,165,13,16.2,7.2,1.7,-8.2,0.083,0.186,0.296,0.554,0.124,0
209550,28,72,166,32,16.8,4.1,5.2,-7.4,0.026,0.092,0.254,0.532,0.29,0
200000,32,68,137,32,10.5,3.4,8.6,3.1,0.017,0.091,0.182,0.526,0.441,0
200000,29,74,190,2,5.5,5,2,22.2,0.022,0.231,0.215,0.328,0.19,0
194000,35,70,142,26,13.2,2.7,2.3,6.8,0.028,0.082,0.218,0.588,0.148,0
190550,31,74,174,18,14.5,6.5,2.7,-4.8,0.047,0.166,0.211,0.586,0.175,0
190550,35,67,130,19,9.4,1.4,2.9,-5.3,0.015,0.038,0.172,0.522,0.179,0
190550,29,71,184,32,13.7,3.6,2.3,6.1,0.008,0.104,0.175,0.586,0.114,0
190550,28,78,202,27,19.4,11.2,2.8,20,0.085,0.287,0.263,0.614,0.169,0
190550,27,68,133,32,16.5,6.8,4,-4.7,0.038,0.164,0.243,0.465,0.202,0
190550,29,71,170,32,11.1,2.9,5.9,9.5,0.017,0.077,0.202,0.519,0.301,0
190550,29,69,148,6,3.7,0.7,0.8,-25.4,0.04,0.038,0.181,0.688,0.25,0
190550,27,76,170,28,20.3,9.5,2.7,11.1,0.038,0.239,0.266,0.557,0.141,0
190550,35,73,173,1,0,0,0,0,0,0,1,0,0,0
190550,28,71,169,14,13.4,3.6,2.1,6.8,0.043,0.112,0.285,0.555,0.163,0
190000,29,69,160,27,8.7,3.6,6.4,-2.9,0.012,0.11,0.151,0.504,0.33,0
190000,35,76,184,23,13.3,8.4,4,3.7,0.053,0.248,0.237,0.545,0.249,0
185000,32,69,143,30,10.6,2.4,4,16.9,0.016,0.071,0.194,0.499,0.224,0
185000,29,76,193,13,10.2,4.5,1.2,-9.7,0.043,0.186,0.219,0.535,0.094,0
180000,30,67,143,32,13.6,3.1,4.8,-7.1,0.017,0.089,0.245,0.508,0.31,0
175100,31,74,230,24,2.5,0.9,0.3,-15.4,0.007,0.088,0.159,0.344,0.062,0
175100,27,66,123,29,5.4,2,2.5,-1.7,0.023,0.099,0.162,0.529,0.237,0
175000,33,76,192,27,23.4,9.6,2.1,-3.5,0.075,0.22,0.311,0.538,0.136,0
175000,30,77,235,24,7.5,3.5,1.3,6.2,0.034,0.14,0.169,0.58,0.1,0
175000,27,68,145,26,14.8,2.5,3.6,10.7,0.017,0.077,0.241,0.579,0.231,0
175000,33,76,185,27,6.4,3.9,1.5,-17.9,0.08,0.12,0.183,0.442,0.131,0
165000,27,73,165,32,14.4,4.2,1.8,0.3,0.038,0.096,0.213,0.543,0.096,0
164500,29,75,195,21,3.7,2.1,1.2,4.8,0.046,0.135,0.15,0.525,0.163,1
160000,27,72,167,25,11.9,5.2,1.7,0.5,0.045,0.142,0.187,0.551,0.103,0
155000,32,69,137,24,9.9,3.5,3.7,-8.9,0.012,0.118,0.181,0.496,0.231,0
154500,28,75,183,28,10.9,5.9,1.1,6.5,0.067,0.184,0.197,0.572,0.082,0
152300,28,75,189,29,11.6,6.7,1.7,16.2,0.047,0.203,0.196,0.596,0.107,0
150350,33,70,145,30,11.7,5,2.7,-4.6,0.012,0.161,0.175,0.635,0.16,1
145000,33,74,166,26,5.8,6.3,2,-16.6,0.065,0.232,0.189,0.401,0.175,0
144200,27,69,152,28,12,2.9,2,-9.7,0.031,0.074,0.204,0.544,0.132,0
142000,37,74,178,26,6.4,3,0.7,-7.1,0.031,0.133,0.193,0.465,0.063,0
140000,30,75,186,28,4.9,3.1,0.6,-6.6,0.03,0.188,0.164,0.503,0.061,0
135000,28,77,184,30,9.2,5.1,1,-2.6,0.034,0.186,0.207,0.515,0.076,1
126000,29,75,209,24,7.7,4,2.3,0.4,0.029,0.142,0.179,0.496,0.146,1
123500,36,65,138,31,6.4,2,2.5,-3.3,0.015,0.072,0.133,0.524,0.168,0
121500,28,70,148,31,17.9,4,3.8,7.2,0.026,0.103,0.264,0.544,0.212,0
121500,35,68,148,29,7,1.4,3.1,15.5,0.012,0.04,0.121,0.55,0.156,0
120000,30,69,153,22,9.9,3,5.4,9.7,0.025,0.097,0.211,0.561,0.356,0
120000,26,75,210,32,14.7,7.3,1.8,16,0.113,0.142,0.209,0.61,0.106,0
119780,32,70,155,21,14.7,3.2,3,-3.2,0.022,0.093,0.218,0.564,0.175,0
119000,28,75,200,32,5.8,4.9,1.2,-7.2,0.079,0.127,0.118,0.524,0.076,0
117894,36,78,218,31,16,10.1,1.4,5.3,0.077,0.256,0.212,0.667,0.086,0
115000,34,69,179,29,5.8,1.6,1.7,5.4,0.024,0.086,0.182,0.577,0.202,0
113000,29,75,183,7,7,4.1,1.1,4.8,0.08,0.167,0.187,0.466,0.105,0
111520,29,68,163,30,8.7,2.5,3.6,-10.5,0.018,0.087,0.204,0.428,0.236,0
110000,35,76,205,28,4.6,2.7,1.3,-8.6,0.054,0.124,0.177,0.458,0.145,0
110000,27,69,154,32,9.4,4.6,2.2,-0.9,0.039,0.121,0.173,0.474,0.134,0
108421,27,77,162,20,6.6,4.8,0.4,-7,0.086,0.168,0.179,0.504,0.044,1
105037,29,74,162,25,9.2,3.7,1.1,-15.6,0.031,0.115,0.185,0.493,0.086,1
91250,31,67,165,32,10.5,2.6,1.6,8.9,0.007,0.082,0.155,0.604,0.092,0
89200,29,73,190,31,7.5,5.6,1.5,-5,0.071,0.134,0.126,0.529,0.086,0
80000,26,72,165,27,4.4,1.3,1.6,-9.1,0.008,0.059,0.121,0.441,0.119,0
72000,26,74,184,23,4.1,4.3,0.6,-5,0.086,0.195,0.126,0.534,0.063,0
70040,29,77,200,31,6.4,4.4,1.4,-7.9,0.036,0.211,0.197,0.465,0.138,0
70040,27,74,192,30,5.7,2.9,1.6,9.5,0.024,0.131,0.161,0.584,0.14,1
70040,35,70,188,28,4.3,2.4,1.6,-5.4,0.035,0.117,0.15,0.474,0.169,0
70040,26,73,182,32,8.3,3.8,0.9,-6.8,0.022,0.136,0.158,0.557,0.064,0
70040,25,73,200,18,12.9,7,2.5,-5.4,0.065,0.222,0.259,0.484,0.184,0
70040,25,76,192,31,8.1,6.5,1,-5.1,0.102,0.161,0.157,0.534,0.072,0
70040,26,78,195,30,7.3,6.1,1.6,9.6,0.071,0.178,0.126,0.648,0.105,0
70040,26,68,144,32,5.4,1.5,3,-15.3,0.015,0.076,0.15,0.517,0.286,0
70040,24,69,150,19,1.9,1,0.9,-20.5,0.017,0.096,0.162,0.377,0.171,0
70040,25,72,168,32,9.5,3.5,1.8,0.7,0.018,0.109,0.187,0.506,0.109,1
70040,26,68,160,32,17.8,2.6,2.5,-9.2,0.019,0.061,0.24,0.537,0.143,0
70040,26,66,135,29,5.8,2.3,3,2.2,0.03,0.094,0.166,0.489,0.246,0
70040,26,73,172,32,11.3,3.5,2.3,0.6,0.015,0.111,0.211,0.499,0.151,0
70040,22,77,188,28,3.4,3.6,0.2,-16.5,0.078,0.22,0.132,0.499,0.03,0
70040,26,78,180,30,7.4,4.6,0.8,1.4,0.084,0.151,0.163,0.569,0.063,0
70040,20,76,168,16,2.4,2.4,0.6,-8.2,0.063,0.207,0.18,0.421,0.108,1
70040,25,68,167,30,16.2,2.8,2.6,-2.5,0.034,0.057,0.239,0.543,0.155,0
70040,23,66,141,30,6.3,1.6,2,-4.7,0.016,0.085,0.196,0.481,0.196,0
70040,25,76,195,32,18.3,9.3,3.1,9.5,0.064,0.209,0.257,0.53,0.159,0
69360,23,76,183,17,11.9,5.9,2.8,4.5,0.057,0.185,0.229,0.529,0.192,0
